Author ID,Total Engagement,Date,tweet_id,row_num,Normalized Text,langdetect_is_english,Year
@DesktopMetal,32,2023-10-11 11:30:15+00:00,@DesktopMetal_2023-10-11T11:30:15.000Z,6373940,customer story! hear how the freedom of design of binder jet  3d printing  helps dsb technologies offer new solutions for its customers and download the case study to read the whole story.,True,2023
@Lord_Toad_,22,2023-03-02 19:03:18+00:00,@Lord_Toad__2023-03-02T19:03:18.000Z,6255735,i made a little krobus keychain! my  3d printer  is not that great but it's good enough  #stardewvalley #krobus #3dprinting,True,2023
@igluemodels,32,2023-02-24 21:33:53+00:00,@igluemodels_2023-02-24T21:33:53.000Z,6324835,"the ds tracks on my dragon panzer iii ausf. e/f kit were way to tight (unusable imo). tried to get an indi link set from miniart but they are sold out everywhere. instead i went with  3d printed  tracks from t-rex. 

after pinning 6 links...

incredible. 

see for yourself.",True,2023
@joeltelling,67,2023-01-20 02:29:17+00:00,@joeltelling_2023-01-20T02:29:17.000Z,6369649,"my high five arm is long!
filming with an  @insta360  is fun!",True,2023
@3DPrintGeneral,38,2023-04-10 20:29:26+00:00,@3DPrintGeneral_2023-04-10T20:29:26.000Z,6380913,"whoa - it looks like based off these numbers, the  3d printed  gun podcast is already in the top 5% of all podcasts, on it's way to being top 1%.  
didn't realize 30 listens gets you into the top 50%",True,2023
@HashinJohnson,128,2023-01-16 00:50:32+00:00,@HashinJohnson_2023-01-16T00:50:32.000Z,6347230,tested my hash bucket s9 immersion cooled space heater. worked great but then the  3d printed  supports warped from the heat.   trying new designs tomorrow.,True,2023
@ravinash_kk,57,2023-12-05 19:34:52+00:00,@ravinash_kk_2023-12-05T19:34:52.000Z,6356457,"1x pdra & 1 x phd position available  @imperialinfect ,  @imperialcollege building minimal gut microbiome models using  3d printing  & fluidics  phd deadline : 12 th of january 2024  (home fees)
pdra deadline:  30 th of january 2024

apply",True,2023
@loyalmoses,76,2023-10-07 20:14:34+00:00,@loyalmoses_2023-10-07T20:14:34.000Z,6381695,"3d printer  companies that are the last to increase value (lower price, innovate, partner, etc) during this shift in our hobby space will be the first ones to fail.

many printer brands are dropping prices by as much as 40% this last week.

you’ll see $79 and $50 printers soon.",True,2023
@dddpworld,33,2023-02-06 12:14:21+00:00,@dddpworld_2023-02-06T12:14:21.000Z,6394435,"the impossible gear fidget on  @thangs3d . this gear stack prints-in-place but the gears and shaft can still rotate.
download:",True,2023
@EJuskewitz,36,2023-11-09 13:43:54+00:00,@EJuskewitz_2023-11-09T13:43:54.000Z,6291757,"dear hive mind, what  3d-printed  lab equipment helped in your wet lab work? i am looking for tiny, nifty ideas that bring more joy into the lab.  @academicchatter @atinygreencell",True,2023
